COMPTE RENDU DE LA PRODUCTION 

RÉSULTAT :;2074
 
CHAINES ACTIVES;ÉLÉMENTS CONSOMMÉS;ÉLÉMENTS PRODUITS 
Brownies marque B(C023) - Niveau 1;Pate biscuit Q3(5.0), jaune oeuf(2.0), Chocolat 40 %(2.0), noix(1.0);Brownies marque A(6.0); 
Cookies Choc(C024) - Niveau 1;Pate biscuit Q3(4.0), Chocolat 40 %(1.0);Cookies Choc/Noix marque A(3.0), Cookies Choc/Noix marque B(2.0); 
Cookies Choc/Noix(C025) - Niveau 1;Pate biscuit Q3(4.0), Chocolat 40 %(1.0), noix(1.0);Pate Madeleines Q1(3.0), Pate Madeleines Q2(2.0); 
Pate Madeleines Q1(C026) - Niveau 1;farine(5.0), Sucre(3.0), beurre(1.0), Poudre a lever(1.0), blanc oeuf(1.0), jaune oeuf(1.0);Pate Madeleines Q1(11.0); 
Pate Madeleines Q2(C027) - Niveau 1;farine(5.0), Sucre(3.0), huile palme(1.0), Poudre a lever(1.0), blanc oeuf(1.0), jaune oeuf(1.0);Pate Madeleines Q2(11.0); 
Madeleines marque A(C028) - Niveau 1;Pate Madeleines Q1(5.0);Madeleines marque A(5.0); 
Madeleines marque B(C029) - Niveau 1;Pate Madeleines Q2(5.0);Madeleines marque B(5.0); 
Madeleines Choc(C030) - Niveau 1;Pate Madeleines Q2(5.0), Chocolat 30 %(1.0);Madeleines Choc(5.0); 

ETAT DU STOCK TEMPORAIRE :
CODE;NOM;QUANTITÉ;UNITÉ;QUANTITÉ CONSOMMÉE;QUANTITÉ PRODUITE;% DEMANDE
E001;Sucre;259.0;kg;241.0;0.0;NA
E002;farine;975.0;kg;525.0;0.0;NA
E003;farine complete;0.0;kg;0.0;0.0;NA
E004;blanc oeuf;186.0;litre;14.0;0.0;NA
E005;jaune oeuf;358.0;litre;42.0;0.0;NA
E006;beurre;2444.0;kg;56.0;0.0;NA
E007;margarine;0.0;kg;0.0;0.0;NA
E008;huile palme;4979.0;litre;21.0;0.0;NA
E009;huile colza;1437.0;litre;63.0;0.0;NA
E010;poudre a lever;50.0;kg;0.0;0.0;NA
E011;beurre cacao;735.0;kg;65.0;0.0;NA
E012;pate cacao;63.0;kg;87.0;0.0;NA
E013;proteine de lait;0.0;kg;0.0;0.0;NA
E014;lait en poudre;397.0;kg;103.0;0.0;NA
E015;emulsifiant;-4.0;litre;14.0;0.0;NA
E016;levure;61.0;unite;28.0;0.0;NA
E017;confiture abricot;29.0;litre;21.0;0.0;NA
E018;noix;29.0;kg;21.0;0.0;NA
E019;Chocolat 30 %;44.0;litre;56.0;80.0;NA
E020;Chocolat 40 %;26.0;litre;56.0;70.0;NA
E021;Chocolat 50 %;79.0;litre;21.0;70.0;NA
E022;Pate biscuit Q1;-14.0;litre;84.0;70.0;NA
E023;Pate biscuit Q2;-56.0;litre;126.0;70.0;NA
E024;Pate biscuit Q3;-56.0;litre;126.0;70.0;NA
E025;Gateau marque A;35.0;carton;0.0;35.0;17.0%
E026;Gateau marque B;35.0;carton;0.0;35.0;11.0%
E027;Gateau marque C;35.0;carton;0.0;35.0;14.0%
E028;Pate levée huile;-21.0;kg;196.0;175.0;NA
E029;Pate levée beurre;105.0;kg;70.0;175.0;NA
E030;Brioche;80.0;carton;0.0;70.0;23.0%
E031;Brioche beurre;70.0;carton;0.0;70.0;70.0%
E032;Pain chocolat A;70.0;carton;0.0;70.0;140.0%
E033;Pain chocolat B;70.0;carton;0.0;70.0;93.0%
E034;Biscuit marque A;49.0;carton;0.0;49.0;12.0%
E035;Biscuit marque B et C;56.0;carton;0.0;56.0;7.0%
E036;Pate crepes;-101.0;litre;210.0;84.0;NA
E037;Crepes natures;35.0;carton;0.0;35.0;20.0%
E038;Crepes fourrees choc;35.0;carton;0.0;35.0;35.0%
E039;Crepes fourres abricot;35.0;carton;0.0;35.0;46.0%
E040;Brownies marque A;84.0;carton;0.0;84.0;33.0%
E041;Brownies marque B;0.0;carton;0.0;0.0;0.0%
E042;Cookies Choc marque A;0.0;carton;0.0;0.0;0.0%
E043;Cookies Choc marque B;0.0;carton;0.0;0.0;0.0%
E044;Cookies Choc/Noix marque A;21.0;carton;0.0;21.0;14.0%
E045;Cookies Choc/Noix marque B;14.0;carton;0.0;14.0;4.0%
E046;Pate Madeleines Q1;63.0;litre;35.0;98.0;NA
E047;Pate Madeleines Q2;21.0;litre;70.0;91.0;NA
E048;Madeleines marque A;35.0;carton;0.0;35.0;17.0%
E049;Madeleines marque B;35.0;carton;0.0;35.0;23.0%
E050;Madeleines Choc;35.0;carton;0.0;35.0;35.0%
E051;Poudre a lever;-7.0;kg;35.0;0.0;NA

LISTE D'ACHATS 
CODE;NOM;QUANTITÉ À ACHETER;UNITÉ;PRIX UNITAIRE;MONTANT 
E015;emulsifiant;4.0;litre;3;12.0
E022;Pate biscuit Q1;14.0;litre;5;70.0
E023;Pate biscuit Q2;56.0;litre;6;336.0
E024;Pate biscuit Q3;56.0;litre;6;336.0
E028;Pate levée huile;21.0;kg;8;168.0
E036;Pate crepes;101.0;litre;9;909.0
E051;Poudre a lever;7.0;kg;2;14.0
;;;;MONTANT TOTAL :;1845.0
